Regiocode;Regionaam;Soort regio;Aantal inwoners;0015;1525;2545;4565;65+
GM0173;Oldenzaal;Gemeente;31.836;5.090;3.588;6.761;8.981;7.416
GM1773;Olst Wijhe;Gemeente;18.252;2.766;2.188;3.619;5.734;3.945
GM0175;Ommen;Gemeente;18.009;2.960;2.031;3.756;5.192;4.070
GM1586;Oost Gelre;Gemeente;29.627;4.365;3.680;6.065;8.918;6.599
GM0826;Oosterhout;Gemeente;55.982;8.507;6.075;12.411;16.434;12.555
GM0085;Ooststellingwerf;Gemeente;25.469;3.765;2.690;5.126;7.755;6.133
GM0431;Oostzaan;Gemeente;9.735;1.536;1.164;2.020;3.007;2.008
GM0432;Opmeer;Gemeente;11.836;1.791;1.504;2.650;3.378;2.513
GM0086;Opsterland;Gemeente;29.733;4.733;3.494;5.967;9.081;6.458
GM0828;Oss;Gemeente;91.915;13.870;11.084;21.582;26.983;18.396
GM1509;Oude IJsselstreek;Gemeente;39.388;5.561;4.593;7.699;12.162;9.373
GM0437;Ouder Amstel;Gemeente;14.026;2.321;1.700;3.015;4.081;2.909
GM0589;Oudewater;Gemeente;10.230;1.720;1.243;2.198;2.939;2.130
GM1734;Overbetuwe;Gemeente;47.906;8.261;5.686;10.302;14.332;9.325
GM0590;Papendrecht;Gemeente;32.136;5.181;3.716;7.231;8.831;7.177
GM1894;Peel en Maas;Gemeente;43.425;6.156;4.861;9.373;13.282;9.753
GM0765;Pekela;Gemeente;12.196;1.792;1.347;2.602;3.667;2.788
GM1926;Pijnacker Nootdorp;Gemeente;55.308;10.883;7.150;12.761;16.287;8.227
GM0439;Purmerend;Gemeente;81.249;11.857;9.672;19.178;24.229;16.313
GM0273;Putten;Gemeente;24.112;4.136;3.016;5.255;6.629;5.076
GM0177;Raalte;Gemeente;37.712;5.854;4.416;7.700;11.384;8.358
GM0703;Reimerswaal;Gemeente;22.730;4.697;2.937;5.532;5.650;3.914
GM0274;Renkum;Gemeente;31.419;4.419;2.901;5.528;9.693;8.878
GM0339;Renswoude;Gemeente;5.444;1.144;749;1.367;1.371;813
GM1667;Reusel de Mierden;Gemeente;13.112;2.211;1.344;3.118;3.780;2.659
GM0275;Rheden;Gemeente;43.761;6.028;4.856;8.883;12.570;11.424
GM0340;Rhenen;Gemeente;20.119;3.525;2.418;4.361;5.518;4.297
GM0597;Ridderkerk;Gemeente;46.189;6.985;4.871;10.185;12.737;11.411
GM1742;Rijssen Holten;Gemeente;38.177;7.565;5.001;8.762;9.635;7.214
GM0603;Rijswijk;Gemeente;54.450;9.080;4.922;14.688;13.918;11.842
GM1669;Roerdalen;Gemeente;20.574;2.556;1.953;4.103;6.419;5.543
GM0957;Roermond;Gemeente;58.260;8.347;6.147;14.512;16.783;12.471
GM1674;Roosendaal;Gemeente;77.251;11.397;8.991;17.501;22.671;16.691
GM0599;Rotterdam;Gemeente;651.157;103.529;86.884;200.825;159.775;100.144
GM0277;Rozendaal;Gemeente;1.704;321;165;257;527;434
GM0840;Rucphen;Gemeente;22.878;2.908;2.348;4.856;7.622;5.144
GM0441;Schagen;Gemeente;46.483;6.879;5.506;9.095;13.646;11.357
GM0279;Scherpenzeel;Gemeente;9.880;1.909;1.247;2.358;2.462;1.904
